,Unnamed: 0,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
0,0,89514099999,2003-01-03,-70.7666666,11.75,-999.9,"MAITRI, AY",32.6,4,9999.9,0,990.9,4,999.9,0,6.2,4,22.2,4,29.9,999.9,38.3, ,26.4, ,0.0,D,999.9,0
1,1,89514099999,2003-01-06,-70.7666666,11.75,-999.9,"MAITRI, AY",31.9,4,9999.9,0,995.5,4,999.9,0,6.2,4,7.2,4,11.1,999.9,36.1, ,26.8, ,0.0,D,999.9,0
2,2,89514099999,2003-01-10,-70.7666666,11.75,-999.9,"MAITRI, AY",28.2,4,9999.9,0,997.8,4,999.9,0,3.6,4,2.5,4,4.1,999.9,34.2, ,20.3, ,0.0,D,999.9,0
4,4,89514099999,2003-01-29,-70.7666666,11.75,-999.9,"MAITRI, AY",35.0,4,9999.9,0,979.4,4,999.9,0,6.2,4,11.5,4,19.0,999.9,39.6, ,31.1, ,0.0,D,999.9,0
5,5,89514099999,2003-01-31,-70.7666666,11.75,-999.9,"MAITRI, AY",32.5,4,9999.9,0,981.0,4,999.9,0,7.8,4,6.0,4,8.0,999.9,39.7, ,31.1, ,0.0,D,999.9,0
6,6,89514099999,2003-02-05,-70.7666666,11.75,-999.9,"MAITRI, AY",26.7,4,9999.9,0,9999.9,0,999.9,0,12.4,4,3.0,4,7.0,999.9,36.9, ,20.3, ,0.0,D,999.9,0
8,8,89514099999,2003-02-19,-70.7666666,11.75,-999.9,"MAITRI, AY",34.5,4,9999.9,0,991.6,4,999.9,0,6.2,4,23.2,4,29.9,999.9,36.7,*,30.6, ,0.0,D,999.9,0
9,9,89514099999,2003-02-21,-70.7666666,11.75,-999.9,"MAITRI, AY",29.3,4,9999.9,0,988.1,4,999.9,0,7.8,4,18.2,4,22.0,999.9,36.9, ,21.4, ,0.0,D,999.9,0
10,10,89514099999,2003-02-22,-70.7666666,11.75,-999.9,"MAITRI, AY",34.5,4,9999.9,0,997.9,4,999.9,0,7.8,4,21.8,4,26.0,999.9,39.2, ,29.8, ,0.0,D,999.9,0
11,11,89514099999,2003-02-23,-70.7666666,11.75,-999.9,"MAITRI, AY",30.9,4,9999.9,0,9999.9,0,999.9,0,12.4,4,20.0,4,29.9,999.9,41.0, ,21.9, ,0.0,D,999.9,0
12,12,89514099999,2003-02-24,-70.7666666,11.75,-999.9,"MAITRI, AY",32.6,4,9999.9,0,1001.2,4,999.9,0,7.8,4,7.8,4,26.0,999.9,41.0, ,22.6, ,0.0,D,999.9,0
14,14,89514099999,2003-03-07,-70.7666666,11.75,-999.9,"MAITRI, AY",29.7,4,9999.9,0,990.6,4,999.9,0,3.0,4,32.4,4,35.9,999.9,33.8, ,24.6, ,0.0,D,999.9,0
15,15,89514099999,2003-03-10,-70.7666666,11.75,-999.9,"MAITRI, AY",25.7,4,9999.9,0,989.7,4,999.9,0,4.3,4,10.2,4,14.0,999.9,30.2, ,23.0,*,0.0,D,999.9,0
16,16,89514099999,2003-03-11,-70.7666666,11.75,-999.9,"MAITRI, AY",21.0,4,9999.9,0,989.9,4,999.9,0,6.2,4,8.5,4,15.9,999.9,29.7, ,17.2, ,0.0,D,999.9,0
17,17,89514099999,2003-03-12,-70.7666666,11.75,-999.9,"MAITRI, AY",19.4,4,9999.9,0,988.5,4,999.9,0,6.2,4,13.8,4,18.1,999.9,28.0, ,13.5, ,0.0,D,999.9,0
18,18,89514099999,2003-03-13,-70.7666666,11.75,-999.9,"MAITRI, AY",19.6,4,9999.9,0,990.5,4,999.9,0,5.3,4,14.8,4,21.0,999.9,24.8, ,14.9, ,0.0,D,999.9,0
19,19,89514099999,2003-03-14,-70.7666666,11.75,-999.9,"MAITRI, AY",20.7,4,9999.9,0,992.4,4,999.9,0,3.1,4,8.3,4,12.0,999.9,23.9, ,16.7, ,0.0,D,999.9,1000
20,20,89514099999,2003-03-15,-70.7666666,11.75,-999.9,"MAITRI, AY",16.8,4,9999.9,0,984.6,4,999.9,0,4.0,4,5.7,4,8.0,999.9,23.0, ,13.3, ,0.0,D,999.9,1000
21,21,89514099999,2003-03-16,-70.7666666,11.75,-999.9,"MAITRI, AY",16.3,4,9999.9,0,980.9,4,999.9,0,5.0,4,14.5,4,22.9,999.9,21.2, ,8.1, ,0.0,D,999.9,1000
22,22,89514099999,2003-03-17,-70.7666666,11.75,-999.9,"MAITRI, AY",24.2,4,9999.9,0,976.2,4,999.9,0,5.3,4,15.5,4,18.1,999.9,29.3, ,15.3, ,0.0,D,999.9,0
23,23,89514099999,2003-03-21,-70.7666666,11.75,-999.9,"MAITRI, AY",11.1,4,9999.9,0,986.9,4,999.9,0,6.2,4,5.8,4,11.1,999.9,18.5, ,6.8, ,0.0,D,999.9,0
24,24,89514099999,2003-03-22,-70.7666666,11.75,-999.9,"MAITRI, AY",11.8,4,9999.9,0,989.8,4,999.9,0,6.2,4,11.3,4,18.1,999.9,19.4, ,4.3, ,0.0,D,999.9,0
25,25,89514099999,2003-03-23,-70.7666666,11.75,-999.9,"MAITRI, AY",14.4,4,9999.9,0,9999.9,0,999.9,0,2.8,4,39.2,4,44.9,999.9,17.2, ,10.8, ,0.0,D,999.9,0
26,26,89514099999,2003-03-24,-70.7666666,11.75,-999.9,"MAITRI, AY",23.4,4,9999.9,0,979.9,4,999.9,0,2.0,4,39.4,4,45.8,999.9,25.5, ,12.2, ,0.0,D,999.9,0
27,27,89514099999,2003-03-28,-70.7666666,11.75,-999.9,"MAITRI, AY",17.8,4,9999.9,0,984.0,4,999.9,0,5.3,4,25.0,4,28.0,999.9,22.6, ,12.7, ,0.0,D,999.9,0
28,28,89514099999,2003-03-29,-70.7666666,11.75,-999.9,"MAITRI, AY",13.2,4,9999.9,0,981.2,4,999.9,0,5.3,4,11.8,4,18.1,999.9,22.1, ,9.5, ,0.0,D,999.9,0
29,29,89514099999,2003-04-01,-70.7666666,11.75,-999.9,"MAITRI, AY",18.7,4,9999.9,0,977.6,4,999.9,0,6.2,4,32.0,4,37.9,999.9,24.8, ,13.8, ,0.0,D,999.9,0
30,30,89514099999,2003-04-02,-70.7666666,11.75,-999.9,"MAITRI, AY",15.4,4,9999.9,0,978.2,4,999.9,0,6.2,4,20.7,4,29.9,999.9,22.6, ,13.8, ,0.0,D,999.9,0
31,31,89514099999,2003-04-03,-70.7666666,11.75,-999.9,"MAITRI, AY",18.2,4,9999.9,0,982.7,4,999.9,0,6.2,4,21.3,4,27.0,999.9,20.5, ,16.0, ,0.0,D,999.9,0
32,32,89514099999,2003-04-06,-70.7666666,11.75,-999.9,"MAITRI, AY",15.1,4,9999.9,0,981.2,4,999.9,0,6.2,4,21.0,4,23.9,999.9,18.3, ,12.2, ,0.0,D,999.9,0
33,33,89514099999,2003-04-09,-70.7666666,11.75,-999.9,"MAITRI, AY",12.2,4,9999.9,0,992.5,4,999.9,0,3.4,4,25.3,4,29.9,999.9,14.9, ,10.0,*,0.0,D,999.9,0
34,34,89514099999,2003-04-10,-70.7666666,11.75,-999.9,"MAITRI, AY",12.2,4,9999.9,0,983.4,4,999.9,0,5.3,4,24.7,4,31.9,999.9,15.6, ,8.8, ,0.0,D,999.9,0
35,35,89514099999,2003-04-11,-70.7666666,11.75,-999.9,"MAITRI, AY",13.9,4,9999.9,0,974.8,4,999.9,0,5.3,4,34.2,4,40.0,999.9,17.6, ,9.5, ,0.0,D,999.9,0
36,36,89514099999,2003-04-12,-70.7666666,11.75,-999.9,"MAITRI, AY",18.1,4,9999.9,0,964.2,4,999.9,0,6.2,4,21.5,4,25.1,999.9,23.0,*,10.4, ,0.0,D,999.9,0
37,37,89514099999,2003-04-13,-70.7666666,11.75,-999.9,"MAITRI, AY",20.9,4,9999.9,0,977.7,4,999.9,0,4.0,4,28.5,4,35.0,999.9,25.2, ,16.0,*,0.0,D,999.9,1000
38,38,89514099999,2003-04-14,-70.7666666,11.75,-999.9,"MAITRI, AY",15.2,4,9999.9,0,9999.9,0,999.9,0,6.2,4,29.4,4,31.9,999.9,24.8, ,12.2, ,0.0,D,999.9,0
