,Unnamed: 0,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
0,0,89510099999,1987-03-01,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",18.5,4,9999.9,0,974.5,4,999.9,0,3.8,4,24.2,4,35.0,999.9,21.6,*,16.7,*,0.0,I,999.9,0
1,1,89510099999,1987-03-02,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",14.9,4,9999.9,0,977.2,4,999.9,0,24.9,4,9.3,4,13.0,999.9,20.3, ,8.2, ,0.0,I,999.9,0
2,2,89510099999,1987-03-03,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",11.4,4,9999.9,0,981.4,4,999.9,0,23.6,4,6.0,4,8.9,999.9,19.6, ,3.6, ,0.0,I,999.9,0
3,3,89510099999,1987-03-07,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",20.6,4,9999.9,0,980.6,4,999.9,0,1.6,4,47.7,4,49.9,999.9,21.2,*,19.8,*,0.0,I,999.9,0
4,4,89510099999,1987-03-08,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",22.1,4,9999.9,0,976.8,4,999.9,0,19.3,4,19.0,4,28.0,999.9,25.5,*,14.9,*,0.0,I,999.9,0
5,5,89510099999,1987-03-10,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",21.4,4,9999.9,0,982.0,4,999.9,0,16.2,4,20.2,4,31.9,999.9,26.6,*,13.1,*,0.0,I,999.9,0
6,6,89510099999,1987-03-11,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",6.9,4,9999.9,0,979.5,4,999.9,0,19.3,4,13.7,4,20.0,999.9,22.6, ,1.4, ,0.0,I,999.9,0
7,7,89510099999,1987-03-12,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",13.3,4,9999.9,0,981.8,4,999.9,0,10.9,4,18.2,4,22.9,999.9,15.8, ,7.7,*,0.0,I,999.9,0
8,8,89510099999,1987-03-14,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",13.6,4,9999.9,0,987.5,4,999.9,0,23.3,4,2.8,4,6.0,999.9,28.4, ,-0.4, ,0.0,I,999.9,0
9,9,89510099999,1987-03-15,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",6.0,4,9999.9,0,995.3,4,999.9,0,999.9,0,0.2,4,1.0,999.9,13.8, ,-2.7, ,0.0,I,999.9,100000
10,10,89510099999,1987-03-17,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",-4.9,4,9999.9,0,981.0,4,999.9,0,21.7,4,999.9,0,999.9,999.9,12.2, ,-11.6, ,0.0,I,999.9,0
11,11,89510099999,1987-03-20,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",15.0,4,9999.9,0,984.9,4,999.9,0,0.7,4,33.4,4,42.9,999.9,17.6,*,12.2,*,0.0,I,999.9,0
12,12,89510099999,1987-03-22,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",18.5,4,9999.9,0,979.7,4,999.9,0,6.8,4,18.0,4,44.9,999.9,24.8,*,10.4,*,99.99, ,999.9,1000
13,13,89510099999,1987-03-23,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",18.9,4,9999.9,0,986.8,4,999.9,0,0.1,4,39.4,4,44.9,999.9,21.2,*,17.6,*,0.0,I,999.9,0
14,14,89510099999,1987-03-24,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",20.3,4,9999.9,0,989.8,4,999.9,0,0.0,4,43.5,4,48.0,999.9,21.2,*,19.4,*,0.0,I,999.9,0
15,15,89510099999,1987-03-27,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",17.8,4,9999.9,0,986.0,4,999.9,0,0.0,4,50.7,4,55.0,999.9,19.4,*,15.8,*,0.0,I,999.9,0
16,16,89510099999,1987-03-28,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",17.1,4,9999.9,0,993.4,4,999.9,0,14.0,4,19.8,4,42.9,999.9,21.2,*,8.6,*,0.0,I,999.9,0
17,17,89510099999,1987-03-31,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",2.6,4,9999.9,0,994.7,4,999.9,0,17.1,4,19.7,4,27.0,999.9,13.5, ,-8.5, ,0.0,I,999.9,0
18,18,89510099999,1987-04-01,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",-4.4,4,9999.9,0,995.7,4,999.9,0,17.1,4,10.2,4,12.0,999.9,5.0, ,-9.4, ,0.0,I,999.9,0
19,19,89510099999,1987-04-02,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",-8.3,4,9999.9,0,1001.2,4,999.9,0,17.1,4,8.2,4,9.9,999.9,0.5, ,-13.0, ,0.0,I,999.9,0
20,20,89510099999,1987-04-03,-70.133,12.0,27.0,"DAKSHIN GANGOTRI, AY",-7.9,4,9999.9,0,1001.9,4,999.9,0,17.1,4,9.8,4,18.1,999.9,0.7, ,-19.3, ,0.0,I,999.9,0
